"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH"	30.78	78.774	2000
	"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA"	14.646	-90.986	25
	"IRAQ:  ARBIL,  DIBS"	36.52	44.066	20
	"PERU:  MACA, CHIVAY, YANQUE"	-15.679	-71.574	92
	"INDONESIA:  TIMOR:  KALABAHI, DILI"	-8.099	124.681	28
	"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI"	42.453	43.673	270
	"COSTA RICA:  LIMON, PANDORA;  PANAMA"	9.685	-83.073	87
	"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA"	-5.982	-77.094	53
	"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR"	35.993	70.423	848
	"ITALY:  SICILY:  CARLENTINI"	37.3	15.438	19
	"IRAN:  S, DARAB"	28.251	55.462	22
	"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND"	35.121	70.486	11
	"SOUTH AFRICA:  CHARLETONVILLE"	-26.39	27.349	10
	"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN"	15.679	121.172	2412
	"AFGHANISTAN:  HINDU KUSH:  PIK LENINA"	36.415	70.789	43
	"IRAN:  LOWSHAN, MANJIL"	36.636	49.799	20
	"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL"	36.957	49.409	40000
	"ROMANIA:  BUCHAREST, BRAILA, BRASOV"	45.841	26.668	14
	"PERU:  MOYABAMBA-RIOJO"	-6.016	-77.229	200
	"SOUTH SUDAN:  JUBA, MAYA;  UGANDA: NAKURA"	5.121	32.145	31
	"CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI"	35.986	100.245	126
	"PAKISTAN:  KALAT, QUETTA, MASTUNG"	28.925	66.331	11
